column,tau,dimension,homology_dimension,birth,death,persistence,is_infinite,embedding_points_original,embedding_points_used,max_points_limit
Lab1_G3_Pc2,18,9,2,2.5904836654663086,2.667661428451538,0.07717776298522949,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.5896127223968506,2.6733386516571045,0.0837259292602539,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.5851430892944336,2.608955144882202,0.023812055587768555,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.5820093154907227,2.6599981784820557,0.07798886299133301,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.5782623291015625,2.6619629859924316,0.08370065689086914,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.5741279125213623,2.63053035736084,0.05640244483947754,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.565009593963623,2.585519552230835,0.020509958267211914,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.5533342361450195,2.748150587081909,0.19481635093688965,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.5530378818511963,2.6030819416046143,0.05004405975341797,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.552617073059082,2.581669569015503,0.0290524959564209,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.5495073795318604,2.56350040435791,0.013993024826049805,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.5315139293670654,2.5572030544281006,0.025689125061035156,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.522045612335205,2.553220510482788,0.031174898147583008,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.516921281814575,2.5409696102142334,0.024048328399658203,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.5063934326171875,2.6104488372802734,0.10405540466308594,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.5036606788635254,2.531273603439331,0.027612924575805664,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.502716302871704,2.503950834274292,0.0012345314025878906,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.493483304977417,2.5345184803009033,0.04103517532348633,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.491234540939331,2.5709054470062256,0.07967090606689453,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.4890739917755127,2.5468509197235107,0.05777692794799805,False,1295,400,400
